ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category1Description,category2Description,category3Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.AddJellyXmlDeclaration,Add XML declaration to Jelly files,Ensure the XML declaration `<?jelly escape-by-default='true'?>` is present in all `.jelly` files.,1,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.AddPluginsBom,Add or correct Jenkins plugins BOM,"Adds [Jenkins plugins BOM](https://www.jenkins.io/doc/developer/plugin-development/dependency-management/#jenkins-plugin-bom) at the latest release if the project depends on any managed versions or an outdated BOM is present. BOMs are expected to be synchronized to Jenkins LTS versions, so this will also remove any mismatched BOMs (Such as using Jenkins 2.387.3, but importing bom-2.319.x). If the expected BOM is already added, the version will not be upgraded.",1,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.DisableLocalResolutionForParentPom,Disables local file resolution for parent POM,"Explicitly sets `<relativePath/>` to disable file resolution, as recommended in the [plugin development guide](https://www.jenkins.io/doc/developer/plugin-development/updating-parent/).",1,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.IsJenkinsPlugin,Is the project a Jenkins plugin?,Checks if the project is a Jenkins plugin by the presence of a managed version of `jenkins-core`.,1,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,"[{""name"":""version"",""type"":""String"",""displayName"":""Jenkins version"",""description"":""The value of the `<jenkins.version>` property."",""example"":""[1,)"",""required"":true}]",
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.JenkinsfileAsGroovy,Parse `Jenkinsfile` as Groovy,Parse any `Jenkinsfile` as Groovy code.,1,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,"[{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""A glob pattern to match Jenkinsfile paths. Defaults to `**/Jenkinsfile*`."",""example"":""**/Jenkinsfile*""}]",
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.ReplaceLibrariesWithApiPlugin,Use Jenkins API plugin instead of libraries,Prefer Jenkins API plugins over bundling libraries for slimmer plugins.,1,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,"[{""name"":""pluginGroupId"",""type"":""String"",""displayName"":""API Plugin's groupId"",""description"":""The first part of a dependency coordinate 'io.jenkins.plugins:ARTIFACT_ID:VERSION'."",""example"":""io.jenkins.plugins"",""required"":true},{""name"":""pluginArtifactId"",""type"":""String"",""displayName"":""API Plugin's artifactId"",""description"":""The second part of a dependency coordinate 'GROUP_ID:jackson2-api:VERSION'."",""example"":""jackson2-api"",""required"":true},{""name"":""pluginVersion"",""type"":""String"",""displayName"":""API Plugin's version"",""description"":""An exact version number."",""example"":""1981.v17df70e84a_a_1"",""required"":true},{""name"":""replaces"",""type"":""Set"",""displayName"":""Replaced Libraries"",""description"":""The set of library coordinates replaced by this API Plugin."",""example"":""groupId: org.apache.commons\nartifactId: commons-text"",""required"":true}]",
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.UpgradeVersionProperty,Upgrade property's value to version,"If the current value is < given version, upgrade it.",1,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,"[{""name"":""key"",""type"":""String"",""displayName"":""Key"",""description"":""The name of the property key to change."",""example"":""jenkins.version"",""required"":true},{""name"":""minimumVersion"",""type"":""String"",""displayName"":""Minimum version"",""description"":""Value to apply to the matching property if < this."",""example"":""2.375.1"",""required"":true}]",
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.CreateIndexJelly,Create `index.jelly` if it doesn't exist,Jenkins tooling [requires](https://github.com/jenkinsci/maven-hpi-plugin/pull/302) `src/main/resources/index.jelly` exists with a description.,1,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.ModernizePluginForJava8,Modernize a Jenkins plugin to the latest versions supported by Java 8,This recipe is intended to break down the modernization of very old plugins into distinct steps. It allows modernizing all tooling up to the last versions that supported Java 8. This can then be followed by another recipe that makes the jump to Java 11.,15,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.JavaxAnnotationsToSpotbugs,Migrate `javax.annotations` to SpotBugs annotations,SpotBugs is the [preferred replacement](https://www.jenkins.io/doc/developer/tutorial-improve/replace-jsr-305-annotations/) of JSR-305 annotations for Jenkins plugins.,5,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.CreateJenkinsfile,Create Jenkinsfile,Creates a simple base Jenkinsfile in Groovy for a Declarative Pipeline - located in the root of the project.,5,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.ModernizePlugin,Modernize a Jenkins plugin to the latest recommended versions,This recipe is intended to change over time to reflect the recommended tooling and [recommended Jenkins baseline](https://www.jenkins.io/doc/developer/plugin-development/choosing-jenkins-baseline/).,29,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.ModernizeJenkinsfile,Modernize Jenkinsfile,"Updates `Jenkinsfile` to build with recommended Java versions, platforms, and settings.",3,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.CommonsLang3ToApiPlugin,Use commons-lang3 API Plugin,Updates `pom.xml` to depend on `commons-lang3-api` and exclude `commons-lang3` where it is brought in transitively.,3,,,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.github.AddTeamToCodeowners,Add plugin developer team to CODEOWNERS,Adds the `{artifactId}-plugin-developers` team to all files in `.github/CODEOWNERS` if absent.,1,,Github,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.jenkins.migrate.hudson.UtilGetPastTimeStringToGetTimeSpanString,Replace `hudson.Util.getPastTimeString` with `getTimeSpanString`,`hudson.Util.getPastTimeString` has been [deprecated](https://github.com/jenkinsci/jenkins/pull/4174) since the [2.204.1 LTS release](https://www.jenkins.io/changelog-stable/#v2.204.1) on 2019-12-18.,3,Hudson,Migrate,Jenkins,,,Recipes to perform [Jenkins](https://www.jenkins.io/) plugin hygiene and migration tasks.,,
maven,org.openrewrite.recipe:rewrite-jenkins,org.openrewrite.java.testing.htmlunit.UpgradeHtmlUnit_3,Migrate to HtmlUnit 3.x,Automates the HtmlUnit [migration guide](https://htmlunit.sourceforge.io/migration.html) from 2.x to 3.x.,13,Htmlunit,Testing,Java,,,Basic building blocks for transforming Java code.,,
